"Date","Tag","Artifactory URL"
"2018-May-28-1007","easywar-1.0.0-SNAPSHOT-2018-May-28-1007-fervent-boyd","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-28-1011","easywar-1.0.0-SNAPSHOT-2018-May-28-1011-zen-lovelace","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-28-1021","easywar-1.0.0-SNAPSHOT-2018-May-28-1021-happy-jang","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-28-1022","easywar-1.0.0-SNAPSHOT-2018-May-28-1022-infallible-nightingale","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-28-1122","easywar-1.0.0-SNAPSHOT-2018-May-28-1122-backstabbing-mirzakhani","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-28-1122","easywar-1.0.0-SNAPSHOT-2018-May-28-1122-compassionate-ritchie","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0629","easywar-1.0.0-SNAPSHOT-2018-May-29-0629-infallible-hugle","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0629","easywar-1.0.0-SNAPSHOT-2018-May-29-0629-pensive-blackwell","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0631","easywar-1.0.0-SNAPSHOT-2018-May-29-0631-zen-pike","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0632","easywar-1.0.0-SNAPSHOT-2018-May-29-0632-berserk-poincare","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0632","easywar-1.0.0-SNAPSHOT-2018-May-29-0632-mad-lalande","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0637","easywar-1.0.0-SNAPSHOT-2018-May-29-0637-loving-leakey","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0637","easywar-1.0.0-SNAPSHOT-2018-May-29-0637-prickly-noyce","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0638","easywar-1.0.0-SNAPSHOT-2018-May-29-0638-jovial-williams","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
"2018-May-29-0644","easywar-1.0.0-SNAPSHOT-2018-May-29-0644-angry-shaw","http://localhost:8081/artifactory/libs-snapshot-local/net/codetojoy/easytoo_may/1.0.0-SNAPSHOT/easytoo_may-1.0.0-20180527.112232-11.war"
